Name,Address 1,Address 2,City,Zip,Inspection Date,Inspection Results,Food from Approved Source (C),Food Protected from Contamination (C),Ill Workers Restricted (C),Proper Hand Washing (C),Cooling Time and Temperature (C),Cold Holding Temperature (C),Hot Holding Temperature (C),Cooking Time and Temperature (C),Reheating Time and Temperature (C),Hot and Cold Running Water Provided (C),Proper Sewage Disposal (C),Toxic Substances & Pesticides,Rodent and Insects,Nutritional Labeling,Trans Fat Ban,No-Smoking Sign Posted,Inspection Type,Owner,Category,Type,Latitude,Longitude,Location
CHIPOTLE MEXICAN GRILL #0411,"907 ELLSWORTH DR.,",,SILVER SPRING,20910,02/28/2023,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Complaint Invest w/Comprehensive,CHIPOTLE MEXICAN GRILL,Restaurant,Food,38.9965,-77.026,"(38.9965, -77.026)"
CHIPOTLE MEXICAN GRILL #0278,4471 WILLARD AVE.,,CHEVY CHASE,20815,07/21/2022,Critical Violations Corrected,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,CHIPOTLE MEXICAN GRILL OF COLORADO LLC,Restaurant,Food,38.9622,-77.0886,"(38.9622, -77.0886)"
CHIPOTLE MEXICAN GRILL #2245,11802 ROCKVILLE PIKE,Unit #F,ROCKVILLE,20852,02/11/2022,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,CHIPOTLE MEXICAN GRILL OF COLORADO LLC,Restaurant,Food,39.0498,-77.1153,"(39.0498, -77.1153)"
CHIPOTLE MEXICAN GRILL #1822,9815 MAIN STREET,STE 104,DAMASCUS,20872,01/26/2023,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,CHIPOTLE MEXICAN GRILL OF COLORADO LLC,Restaurant,Food,39.2888,-77.2025,"(39.2888, -77.2025)"
CHIPOTLE MEXICAN GRILL #2331,205 BOARDWALK PLACE,,GAITHERSBURG,20878,07/23/2023,Critical Violations Corrected,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,CHIPOTLE MEXICAN GRILL OF COLORADO LLC,Restaurant,Food,39.1166,-77.1985,"(39.1166, -77.1985)"
CHIPOTLE MEXICAN GRILL #0293,14925 SHADY GROVE RD.,,ROCKVILLE,20850,03/03/2022,Critical Violations Corrected,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,CHIPOTLE MEXICAN GRILL OF COLORADO LLC,,Food,39.0964,-77.1924,"(39.0964, -77.1924)"
CHIPOTLE MEXICAN GRILL #2245,11802 ROCKVILLE PIKE,Unit #F,ROCKVILLE,20852,04/25/2023,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Complaint Invest w/Comprehensive,CHIPOTLE MEXICAN GRILL OF COLORADO LLC,Restaurant,Food,39.0498,-77.1153,"(39.0498, -77.1153)"
CHIPOTLE MEXICAN GRILL #0683,13501 CONNECTICUT AVE.,,SILVER SPRING,20906,01/20/2023,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,CHIPOTLE MEXICAN GRILL OF COLORADO LLC,Restaurant,Food,39.0767,-77.08,"(39.0767, -77.08)"
CHIPOTLE MEXICAN GRILL #0278,4471 WILLARD AVE.,,CHEVY CHASE,20815,12/14/2022,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,CHIPOTLE MEXICAN GRILL OF COLORADO LLC,Restaurant,Food,38.9622,-77.0886,"(38.9622, -77.0886)"
CHIPOTLE MEXICAN GRILL #2388,7101 DEMOCRACY BLVD,SPACE #FC17,BETHESDA,20814,05/26/2023,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring w/Complaint Investigation,CHIPOTLE MEXICAN GRILL OF COLORADO LLC,Restaurant,Food,39.0221,-77.1471,"(39.0221, -77.1471)"
