2521,Hy-Vee Food and Drug / Grand / WDM,A,"1990 Grand Avenue
West Des Moines, IA 502650000
(41.57145472700006, -93.73139076199999)",
2522,Hy-vee Wine and Spirits / Spirit Lak,A,"Hwy 9 &amp; 71
Spirit Lake, IA 513600000
(43.42301360600004, -95.10225880599995)",
2523,Hy-vee Food Store / Centerville,A,"414 N 18th St
Centerville, IA 525440000
(40.73515915400003, -92.86797523999996)",
2524,Hy-vee Food Store / Dubuque,A,"3500 Dodge St
Dubuque, IA 520010000
(42.49157096700003, -90.72495289199998)",
2527,Hy-vee Food Store #5 / Des Moines,A,"1107 Se Army Post Rd
Des Moines, IA 503150000
(41.526253016000055, -93.60225108199995)",
2528,Hy-vee Food Store #3 / Des Moines,A,"3221 Se 14th St
Des Moines, IA 503150000
(41.554700550000064, -93.63530428599995)",
2529,Hy-vee Drugstore #4 / Cedar Rapids,A,"4825 Johnson Ave Nw
Cedar Rapids, IA 524050000
(41.96847457900003, -91.73307137499995)",
2531,Hy-Vee Food Store #1 / Des Moines,I,"3330 Harding Rd
Des Moines, IA 503100000
(41.60968818400005, -93.64425459699999)",
2532,Hy-vee Food Store #2 / Des Moines,A,"2540 E Euclid
Des Moines, IA 503170000
(41.62777826300004, -93.56853070699998)",
2534,Hy-Vee Drugtown / Urbandale,I,"8601 Douglas
Urbandale, IA 503220000
(41.629358041000046, -93.73750015999997)",
2535,Hy-vee Food Store #1 / wdm,A,"1700 Valley West Dr
West Des Moines, IA 502650000
(41.59727543200006, -93.75203423599999)",
2536,HY-VEE / PLEASANT HILL,A,"4815 Maple Drive
Pleasant Hill, IA 503170000
(41.59809917800004, -93.51959133799994)",
2537,Hy-Vee Drugstore / Fort Dodge,A,"215 S 25th St
Fort Dodge, IA 505010000
(42.50885557300006, -94.16480197799996)",
2538,Hy-vee Food Store #3 / Waterloo,A,"1422 Flammang Dr
Waterloo, IA 507020000
(42.45995158000005, -92.32754047699996)",
2539,Hy-Vee Food Store / iowa Falls,A,"Highway 65 South
Iowa Falls, IA 501260000
(42.58000429700007, -93.20465010199996)",
2541,Hy Vee / drugtown #2 / Council Bluff,I,"1745 Madison Ave
Council Bluffs, IA 515030000
(41.24353036400004, -95.82661436399997)",
2542,Hy Vee / drugtown #1 / Council Bluff,I,"1710 N. 16th
Council Bluffs, IA 515010000
(41.27690287200005, -95.86743708399996)",
2543,Hy-vee Food Store #1 / Ottumwa,A,"1025 North Quincy Ave
Ottuwma, IA 525010000
",
2544,Hy-vee Food Store / Marshalltown,A,"802 South Center
Marshalltown, IA 501580000
(42.03948048900003, -92.91276366999995)",
2545,Hy-vee Drugstore / Iowa City,A,"310 N 1st St
Iowa City, IA 522450000
(41.66583006500008, -91.50206422099996)",
2548,Hy-vee Food Store / Altoona,A,"100 8th Street Sw
Altoona, IA 500090000
(41.64401599100006, -93.46471849999995)",
2549,Hy-vee Food Store / Indianola,A,"910 N Jefferson
Indianola, IA 501250000
(41.36864045300007, -93.55832379499998)",
2550,Hy-vee Food Store / Osceola,A,"510 West Mclane
Osceola, IA 502130000
(41.03060125800005, -93.77236724599999)",
2551,Hy-vee Food Store / Chariton,A,"2001 West Court
Chariton, IA 500490000
(41.01386021600007, -93.30343944899994)",
2552,Hy-vee Food Store #3 / Cedar Rapids,A,"20 Wilson Avenue West
Cedar Rapids, IA 524040000
(41.955888205000065, -91.65820992999994)",
2553,Hy-vee Food Store / Creston,A,"600 Sheldon
Creston, IA 508010000
(41.05197099600008, -94.37174873399994)",
2554,Hy-vee Food Store / Davenport,A,"3019 Rockingham Road
Davenport, IA 528020000
(41.51046560300006, -90.62075645399995)",
2555,Hy-vee Food Store / keokuk,A,"3111 Main
Keokuk, IA 526320000
(40.41509268300007, -91.40337934999997)",
2556,Hy-vee Wine and Spirits / Esthervill,A,"2608 E. Central Avenue
Estherville, IA 513340000
(43.39918931500006, -94.80935947799998)",
2558,Hy-vee Food Store / Mount Pleasant,A,"1700 E Washington
Mount Pleasant, IA 526410000
(40.96227444300007, -91.52873954499995)",
2559,Hy-vee Food Store / Albia,A,"Hwy. 34 West
Albia, IA 525310000
(41.01545112500003, -92.81193822099999)",
