904832,IMPORTED VODKA,Pinnacle Tropical Punch,298,White Rock Distilleries Inc.,750,12,1,,70,2010-07-12 00:00:00,,,$7.38,11.07,88.55
904833,SCOTCH WHISKIES,Big Peat,456,Spirit Imports Inc.,750,6,1,,92,2010-07-22 00:00:00,,,$40.78,61.17,244.70
904834,SCOTCH WHISKIES,Double Barrel,456,Spirit Imports Inc.,750,2,1,,92,2010-07-22 00:00:00,,,$41.01,61.52,82.02
904835,SCOTCH WHISKIES,Mcgibbon's Golf Driver,456,Spirit Imports Inc.,750,6,1,,86,2010-07-22 00:00:00,,,$61.12,91.68,366.70
904836,STRAIGHT BOURBON WHISKIES,Bookers Bourbon (DO NOT USE),65,Jim Beam Brands,750,6,1,,128,2010-04-19 00:00:00,,10080700000000,$29.91,44.87,179.46
904837,STRAIGHT BOURBON WHISKIES,Wild Turkey Rare Breed,461,Campari(skyy),750,6,1,,108,2010-07-20 00:00:00,721059000000,10721100000000,$20.18,30.28,121.10
904838,SCOTCH WHISKIES,Classic Cask- Rare Scotch,456,Spirit Imports Inc.,750,2,1,,86,2010-07-22 00:00:00,,,$182.35,273.53,364.70
904839,SINGLE MALT SCOTCH,Tamdhu 8yr Scotch,127,Classic Wine Imports,750,6,1,,86,2010-07-22 00:00:00,,,$26.95,40.43,161.70
904840,SINGLE MALT SCOTCH,Classic Cask- Strathmill 1974,456,Spirit Imports Inc.,750,2,1,,85,2010-07-22 00:00:00,,,$167.35,251.03,334.70
904841,IMPORTED VODKA,Effen Raspberry Vanilla Vodka,65,Jim Beam Brands,750,6,1,,70,2010-08-06 00:00:00,,10080700000000,$12.46,18.69,74.74
904842,MISC. AMERICAN CORDIALS & LIQUEURS,Hiram Walker Kirschwasser,370,Pernod Ricard Usa/austin Nichols,200,48,1,,90,2010-08-12 00:00:00,,10089500000000,$0.99,1.48,47.51
904843,SINGLE MALT SCOTCH,Glenrothes 8yr Scotch,127,Classic Wine Imports,750,6,1,,86,2010-07-22 00:00:00,,,$26.95,40.43,161.70
904844,MISC. IMPORTED CORDIALS & LIQUEURS,Cynar,461,Campari(skyy),1000,12,1,,33,2010-08-12 00:00:00,887341000000,904844,$12.91,19.37,154.94
904845,MISC. IMPORTED CORDIALS & LIQUEURS,Schwartzhog Krauter Liqueur,459,Surville Enterprises Corp,750,6,1,,73,2010-08-12 00:00:00,,10096700000000,$9.17,13.75,55.00
904846,TEQUILA,Manik Blanco,286,Jalixco Trading Co. Llc,750,6,1,,80,2010-07-26 00:00:00,,,$20.00,30.00,120.00
904847,FLAVORED RUM,Malibu Passion Fruit,370,Pernod Ricard Usa/austin Nichols,200,48,1,,42,2010-08-17 00:00:00,,,$1.90,2.85,91.20
904848,AMERICAN COCKTAILS,Ice Box Margarita,298,White Rock Distilleries Inc.,1750,6,1,,40,2010-08-12 00:00:00,,,$6.50,9.75,39.00
904849,MISC. IMPORTED CORDIALS & LIQUEURS,Yeni Raki Turkish Liqueur,465,Stanley Stawski Distributing Co.,750,12,1,,86,2010-08-17 00:00:00,,,$17.83,26.75,214.00
