series,episode,baker,outcome,signature_handshake,technical,showstopper_handshake,signature_ingredients,showstopper_ingredients
5,2,Nancy,IN,No,2,No,NULL,NULL
5,2,Norman,IN,Yes,10,No,NULL,NULL
5,2,Richard,STARBAKER,No,1,No,NULL,NULL
5,3,Chetna,IN,No,8,No,NULL,NULL
5,3,Claire,NULL,NULL,NULL,NULL,NULL,NULL
5,3,Diana,IN,No,7,No,NULL,NULL
5,3,Enwezor,NULL,NULL,NULL,NULL,NULL,NULL
5,3,Iain,IN,No,9,No,NULL,NULL
5,3,Jordan,OUT,No,10,No,NULL,NULL
5,3,Kate,IN,No,1,No,NULL,NULL
5,3,Luis,STARBAKER,Yes,2,No,NULL,NULL
5,3,Martha,IN,No,3,No,NULL,NULL
5,3,Nancy,IN,No,5,No,NULL,NULL
5,3,Norman,IN,No,4,No,NULL,NULL
5,3,Richard,IN,No,6,No,NULL,NULL
5,4,Chetna,IN,No,3,No,NULL,NULL
5,4,Claire,NULL,NULL,NULL,NULL,NULL,NULL
5,4,Diana,IN,No,9,No,NULL,NULL
5,4,Enwezor,NULL,NULL,NULL,NULL,NULL,NULL
5,4,Iain,OUT,No,6,No,NULL,NULL
5,4,Jordan,NULL,NULL,NULL,NULL,NULL,NULL
5,4,Kate,IN,No,7,No,NULL,NULL
5,4,Luis,IN,No,2,No,NULL,NULL
5,4,Martha,IN,No,1,No,NULL,NULL
5,4,Nancy,IN,No,4,No,NULL,NULL
5,4,Norman,IN,No,8,No,NULL,NULL
5,4,Richard,STARBAKER,No,5,No,NULL,NULL
5,5,Chetna,IN,No,2,No,NULL,NULL
5,5,Claire,NULL,NULL,NULL,NULL,NULL,NULL
5,5,Diana,WITHDRAWN,NULL,NULL,NULL,NULL,NULL
5,5,Enwezor,NULL,NULL,NULL,NULL,NULL,NULL
5,5,Iain,NULL,NULL,NULL,NULL,NULL,NULL
5,5,Jordan,NULL,NULL,NULL,NULL,NULL,NULL
5,5,Kate,STARBAKER,No,3,No,NULL,NULL
5,5,Luis,IN,No,6,No,NULL,NULL
5,5,Martha,IN,No,1,No,NULL,NULL
5,5,Nancy,IN,No,4,No,NULL,NULL
5,5,Norman,OUT,No,5,No,NULL,NULL
5,5,Richard,IN,No,7,No,NULL,NULL
5,6,Chetna,STARBAKER,No,2,No,NULL,NULL
5,6,Claire,NULL,NULL,NULL,NULL,NULL,NULL
5,6,Diana,NULL,NULL,NULL,NULL,NULL,NULL
5,6,Enwezor,NULL,NULL,NULL,NULL,NULL,NULL
5,6,Iain,NULL,NULL,NULL,NULL,NULL,NULL
5,6,Jordan,NULL,NULL,NULL,NULL,NULL,NULL
5,6,Kate,IN,No,6,No,NULL,NULL
5,6,Luis,IN,No,3,No,NULL,NULL
5,6,Martha,IN,No,4,No,NULL,NULL
5,6,Nancy,IN,No,1,No,NULL,NULL
5,6,Norman,NULL,NULL,NULL,NULL,NULL,NULL
5,6,Richard,IN,No,5,No,NULL,NULL
